created_at,author_id,text
2024-12-09 22:17:20+00:00,153699731,"RT @PhilMackey: I’ve watched this play 20 times. Absolutely wild. 

Sam Darnold, man.  https://t.co/1JOPHeBwFF"
2024-12-09 22:17:20+00:00,1700123943535820800,"Got access to 💯 Fully Assured &amp; Safe Picks for Soccer, #NFL     , #MLB, #NBA     , #NHL, click on the link below to join for free ✌️👇

https://t.co/rX0HwiSGtk

#prizepicks #GamblingTwitter #prizepicksmlb #dfs #DraftKings     #fanduel #PrizePicks #bet365 #fanduel https://t.co/PFgPV3wzta"
2024-12-09 22:17:19+00:00,1519785523019231233,"@NFL Correction, the refs are 12-1"
2024-12-09 22:17:19+00:00,800124492466921472,"RT @BrendenDeeg_: Can the Eagles pass offense be better? Yes

Can Jalen Hurts play better? Yes

Do I trust he will play better? Yes

Do the…"
2024-12-09 22:17:19+00:00,1917075506,"RT @PolymarketSport: Who will finish with the WORST record in the NFL?

Patriots are +350 to finish DEAD LAST and still have to play Josh A…"
2024-12-09 22:17:19+00:00,759767455682039808,"RT @BernardoPicks: DINÁMICA de #NFL con el MNF entre #RuleTheJungle y #DallasCowboys 

3 ganadores de $250 💰

Para participar tienes que ha…"
2024-12-09 22:17:19+00:00,1561755578300604418,@Ross_McCorkle My uncle but his stuff in a box and believes the nfl is rigged bc of that game. Hasn’t watched a Steelers game since
2024-12-09 22:17:18+00:00,1701427273700683776,"RT @TomPelissero: #Panthers RB Jonathan Brooks re-tore his right ACL on Sunday, coach Dave Canales said. 

Just awful for Brooks, the first…"
2024-12-09 22:17:18+00:00,473083783,@Beardaknowledge That’s not even remotely close to a comparison. Not even one bit. I didn’t know the did the tush push 20 years ago in the NFL. My apologies
2024-12-09 22:17:17+00:00,1515359862582128661,@kkc13223 @kirkdonkadonk @Ihartitz Slant boy also cooked you retards here when we went to the playoffs and you didn’t hahahahhahahahahahah https://t.co/3m3sw9qYJA
2024-12-09 22:17:17+00:00,1335220403195817985,"Come tail a 6man parlay  hitting $10,785 tonight say add I'll get you the plays
👇👇👇👇👇👇👇

https://t.co/mVQ9X7LmUR

#Prizepicks #nba  #nfl #fanduel #gambling #prizepickswinning #mlb #PlayerPropBets #freeplays #DFS https://t.co/qq1Q18DOWZ"
2024-12-09 22:17:17+00:00,496782995,"RT @NFL: This moment between @JJettas2 and @KirkCousins8 ❤️

""Thank you for what you meant to me, man."" 🥹 https://t.co/bJbW1A1OVP"
2024-12-09 22:17:16+00:00,176317381,"@Janson2323 @PlutoCooked Come on this requires common sense for the ""box score"" nfl fans

People don't watch the games, they just regurgitate what main stream narratives that make them feel better 😂
#Gobills"
2024-12-09 22:17:16+00:00,1822373100849176576,@ChadPergram You are turning to the National Football League (NFL) for answers?  Really?
2024-12-09 22:17:16+00:00,1482149162506678274,"RT @EvanHAbrams: The longest ATS winning streak right now in the NFL?

The Panthers, who are 5-0 ATS since Nov. 1.

As of now, Carolina is…"
2024-12-09 22:17:15+00:00,1355379440231075842,"RT @BernardoPicks: DINÁMICA de #NFL con el MNF entre #RuleTheJungle y #DallasCowboys 

3 ganadores de $250 💰

Para participar tienes que ha…"
2024-12-09 22:17:15+00:00,1092234163493707776,"NFL BEST BET

LIKE DINNER $ to someone

Lock in👇🔥

https://t.co/GRMCSg97uu"
2024-12-09 22:17:14+00:00,1700123943535820800,"I got some sure picks definitely gonna hit on tonight CS2 &amp; NBA. Picks 4 man If anybody is interested for tonight dota hit me up let’s get paid for today

https://t.co/rX0HwiS8DM…

#gamblingtwitter #prizepicks #props #NFL #bettingtips #bettingtwitter #SportsGambling https://t.co/YcTgdmnMtR"
2024-12-09 22:17:14+00:00,1607014285946806272,@ayeyoshifty_ @NFL_DovKleiman we’re the spoiled child of the nfl
2024-12-09 22:17:14+00:00,1708585869160919040,Beyonce's huge 2025 tour and Christmas NFL appearance thrown into doubt after rape claim against husband Jay-Z | The US Sun https://t.co/prIdQsn9eK
2024-12-09 22:17:14+00:00,1111981994060206080,"RT @pwrlabs: NFL stars know what it takes to win🏆:
-Being an expert in your field.
-Pushing past what you think you are capable of.
-Your c…"
2024-12-09 22:17:13+00:00,1767662533064663040,"RT @pwrlabs: NFL stars know what it takes to win🏆:
-Being an expert in your field.
-Pushing past what you think you are capable of.
-Your c…"
2024-12-09 22:17:13+00:00,54668690,@NFL He took an L and F'd up the QB sneak to give his team a chance.
2024-12-09 22:17:12+00:00,562954230,@PatMcAfeeShow one problem these kids are students and the NCAA limits the practice time.  Going to be tough to run an NFL type program. https://t.co/i31q0JzvJL
2024-12-09 22:17:11+00:00,423153647,Longshot #nba #nfl #GamblingTwitter #GamblingCommunity https://t.co/GJ3gaxW67z
2024-12-09 22:17:11+00:00,40149182,"RT @FastBreakCards: 2024 NFL Donruss #ad 
$23.99 possibility of sealed case.

https://t.co/nDo03Gcl6q https://t.co/d3DGTr2HCc"
